Latente_1,Latente_2,Ano,UF
1.4393771,0.8608916,2010,GO
1.3631525,1.0640112,2010,RS
0.77626747,1.0756207,2010,SP
0.30075064,1.0363466,2010,PE
0.7074736,0.69541043,2010,CE
1.5316988,1.2035487,2010,PB
0.77915025,0.59562707,2010,BA
1.0572444,0.06715298,2010,AP
1.4307125,0.09564151,2010,AL
1.3517051,0.32898647,2010,AM
0.8291478,0.5844745,2010,AL
0.23406363,0.40391266,2010,BA
0.41582745,0.14880791,2010,BA
0.0706945,0.0,2010,TO
1.5374817,0.4249403,2010,RN
0.49732146,0.706899,2010,CE
0.9383039,0.50026613,2010,MG
1.271509,0.7652524,2010,TO
1.2198541,0.8270727,2010,PR
0.7092668,0.98015386,2010,RJ
0.39569002,0.5756045,2010,AM
0.5375859,0.959311,2010,PI
1.0012571,0.6500138,2010,RJ
0.6565448,1.0097562,2010,GO
1.7980363,1.2319187,2010,RS
1.1335623,0.10904732,2010,BA
0.71702474,0.47589844,2010,RO
1.6547464,1.4984468,2010,PE
0.99399567,0.48381412,2010,AC
1.8652961,1.1899251,2010,RJ
1.5729893,0.68648887,2010,BA
0.93918437,0.976983,2010,PA
0.18504775,1.8734006,2010,SC
1.3084493,0.54767114,2010,MA
1.9073752,1.5545154,2010,SP
0.57415783,0.69065845,2010,PI
1.0360652,0.35211003,2010,PI
0.8439136,0.26079106,2010,RN
0.6209588,0.81027365,2010,MG
1.1664196,1.4783534,2010,ES
0.76998645,0.94668436,2011,GO
1.1814852,0.39765644,2011,RJ
1.0043411,1.2655733,2011,SE
0.4673565,0.9796705,2011,CE
0.72197574,0.25073195,2011,RJ
1.5138074,0.673421,2011,SC
0.6961311,0.4627025,2011,AM
0.7601019,0.5081994,2011,MA
1.3884324,0.959369,2011,PA
1.6720207,1.2784747,2011,MG
1.3687658,1.6979474,2011,RS
0.95974904,0.8568492,2011,RR
0.7574838,0.5942474,2011,MS
1.5639251,0.9133294,2011,DF
0.85996944,1.0930722,2011,MT
1.1210437,0.5753605,2011,GO
1.1787143,1.2627777,2011,MS
